Model,p,N_train,N_test,rf_win_prop,n_pairs,Method,mean_mse,sd_mse,skew_mse,kurt_mse,n_reps
A,6,15,15,0.783,1000,reg,1.93215662004218,1.06536014352162,2.24671478158765,8.64579358719522,1000
A,6,15,15,0.783,1000,rf,1.29978542846184,0.483928922017027,0.728932016783962,0.498020771675893,1000
A,6,30,30,0.551,1000,reg,1.33556215642719,0.410622303070251,0.900659136896749,1.29065579919097,1000
A,6,30,30,0.551,1000,rf,1.26156374624009,0.319672191063509,0.373245373527039,-0.251743912629292,1000
A,6,50,50,0.389,1000,reg,1.16456348025085,0.257296590528362,0.603275931828691,0.591336891315815,1000
A,6,50,50,0.389,1000,rf,1.19717624474536,0.251945891614194,0.623323005160926,0.724216149265946,1000
A,6,100,100,0.154,1000,reg,1.07376759058862,0.157806154378913,0.222630329329523,0.0865036783753137,1000
A,6,100,100,0.154,1000,rf,1.15371905663467,0.164661722316719,0.0876136681302778,-0.081699868979769,1000
A,6,500,500,0,1000,reg,1.01292899104017,0.0650678284292556,0.220335446315243,-0.0584388082024252,1000
A,6,500,500,0,1000,rf,1.09033140593293,0.0713870620819677,0.251778441842047,0.170742332210043,1000
A,6,1000,1000,0,1000,reg,1.00728444126169,0.0448517247557714,0.274905556485803,0.110421377570704,1000
A,6,1000,1000,0,1000,rf,1.07326091418098,0.0485058886022721,0.268672165493702,0.0625100237388323,1000
A,6,10000,10000,0,1000,reg,1.00053357134813,0.0146372417412576,0.00708376205072196,0.017034727408678,1000
A,6,10000,10000,0,1000,rf,1.04236043249953,0.0152788900142135,-0.0479370689734518,0.032455031657213,1000
A,12,15,15,0.965,1000,reg,13.0596317930249,47.8577664229289,22.1968444476191,599.47165912682,1000
A,12,15,15,0.965,1000,rf,1.53496175934398,0.560491654014838,0.957277528161362,2.59448581337228,1000
A,12,30,30,0.737,1000,reg,1.79265815271529,0.650574440355535,1.25040276164408,2.83225446046882,1000
A,12,30,30,0.737,1000,rf,1.41389560938698,0.388125703043938,0.714546322006361,1.01617110565,1000
