Model,p,N_train,N_test,rf_win_prop,n_pairs,Method,mean_mse,sd_mse,skew_mse,kurt_mse,n_reps
A,6,15,10000,0.916,1000,reg,1.97393343611674,0.862633411695839,3.50814027490439,21.1832543806565,1000
A,6,15,10000,0.916,1000,rf,1.32246789834911,0.142578323787186,1.38889488856279,2.74057730856074,1000
A,6,30,10000,0.584,1000,reg,1.32050852916531,0.216218542074072,1.80017828035904,5.18803925653728,1000
A,6,30,10000,0.584,1000,rf,1.24968558508121,0.0910899168954949,1.20886250813406,2.54215190640008,1000
A,6,50,10000,0.283,1000,reg,1.16889445627143,0.100768167125063,1.15019438375419,1.83544431203763,1000
A,6,50,10000,0.283,1000,rf,1.20704127555486,0.0683219348804446,1.08195171431657,2.03822667559648,1000
A,6,100,10000,0.03,1000,reg,1.07688441381436,0.0476664941461618,1.39061372846991,3.91987183279926,1000
A,6,100,10000,0.03,1000,rf,1.16020683699405,0.0451226151177009,0.585434298852681,0.596891984424872,1000
A,6,500,10000,0,1000,reg,1.01415145197972,0.0166097374636565,0.0949916717306156,0.0483043054603622,1000
A,6,500,10000,0,1000,rf,1.08973095094442,0.0209621545693349,0.103780177560486,-0.0573388901385106,1000
A,6,1000,10000,0,1000,reg,1.00686865820612,0.0152594399885159,-0.0160252221412955,-0.0685067255732248,1000
A,6,1000,10000,0,1000,rf,1.07233398869825,0.0174825119933713,0.109403514783244,0.00442296396848851,1000
A,6,10000,10000,0,1000,reg,1.00053357134813,0.0146372417412576,0.00708376205072194,0.0170347274086775,1000
A,6,10000,10000,0,1000,rf,1.04236043249953,0.0152788900142135,-0.0479370689734518,0.032455031657213,1000
A,12,15,10000,0.994,1000,reg,12.9683193257912,40.6970405924412,18.8997502811015,457.768110437879,1000
A,12,15,10000,0.994,1000,rf,1.53028678347942,0.160267410113366,1.61240323896455,4.01255827705522,1000
A,12,30,10000,0.854,1000,reg,1.81695375250344,0.453173665690891,1.43155883734622,2.84568378699762,1000
A,12,30,10000,0.854,1000,rf,1.41915160470659,0.099540373621518,1.14786925077631,2.16731284623809,1000
A,12,50,10000,0.447,1000,reg,1.36108813515152,0.167409867282165,1.04644748247471,1.83931712680701,1000
A,12,50,10000,0.447,1000,rf,1.35135054226383,0.0729138179942813,0.639156836369871,0.411596858421351,1000
A,12,100,10000,0.041,1000,reg,1.14877614145674,0.0672002429212595,0.911590395654109,1.16444272225475,1000
A,12,100,10000,0.041,1000,rf,1.27305798430085,0.047793725135185,0.674496685527818,1.0750872344282,1000
A,12,500,10000,0,1000,reg,1.02647157847149,0.0178378126481771,0.371088430105165,1.16061978153204,1000
A,12,500,10000,0,1000,rf,1.15979991870374,0.024000351214729,0.445806974424757,0.881015284945597,1000
A,12,1000,10000,0,1000,reg,1.0130063694218,0.0145019956766088,0.0874735353864478,0.0765765199524227,1000
A,12,1000,10000,0,1000,rf,1.12864118656342,0.0191899734038592,-0.0161472494711198,0.256016255384599,1000
A,12,10000,10000,0,1000,reg,1.00104348913255,0.0136698624978918,0.0325593304317192,0.100594710438242,1000
A,12,10000,10000,0,1000,rf,1.06915202822655,0.0152628260433942,-0.0300243112899854,-0.0628169787743134,1000
A,24,30,10000,0.999,1000,reg,6.90712388051644,4.60932741063986,2.47712672503389,9.28842116802466,1000
A,24,30,10000,0.999,1000,rf,1.8527504271811,0.114451332075331,1.16182450586128,2.5682388501406,1000
A,24,50,10000,0.748,1000,reg,2.05034025521842,0.447001289900367,1.90160100753078,8.80479369343284,1000
A,24,50,10000,0.748,1000,rf,1.7576923167983,0.0825888347497238,0.894703348396484,2.24933277716043,1000
A,24,100,10000,0.011,1000,reg,1.33125675037764,0.107319971910326,0.836980266942464,1.50749527666916,1000
A,24,100,10000,0.011,1000,rf,1.64447924774973,0.0616952917546847,0.643878887880495,1.02287097040204,1000
A,24,500,10000,0,1000,reg,1.05229232279224,0.02128045874444,0.358475757348396,0.361439368398028,1000
A,24,500,10000,0,1000,rf,1.46038179128768,0.0298385113592473,0.081463677853703,-0.0367237542899952,1000
A,24,1000,10000,0,1000,reg,1.02553671248149,0.0159529434832046,0.149689931573718,0.041870014189425,1000
A,24,1000,10000,0,1000,rf,1.4091472011088,0.0243867982986474,0.00709986028144387,-0.000690053692321779,1000
A,24,10000,10000,0,1000,reg,1.00231327522173,0.01388108744027,0.113961534472729,0.023669633487041,1000
A,24,10000,10000,0,1000,rf,1.29760870119074,0.0182501142557415,0.035633476404932,-0.0448740775656322,1000
A,32,50,10000,0.915,1000,reg,3.01646805883008,0.902575969413007,1.68800906349604,5.82342472649008,1000
A,32,50,10000,0.915,1000,rf,2.05690806203575,0.0943121586122282,0.835763333103355,1.86341335762741,1000
A,32,100,10000,0.013,1000,reg,1.49873093735128,0.156583480658629,0.70815646231091,0.739948609927307,1000
A,32,100,10000,0.013,1000,rf,1.92140483204663,0.0652782605801969,0.358638597476454,0.413145755163519,1000
A,32,500,10000,0,1000,reg,1.06994080698749,0.0238340447501295,0.24032363655637,0.429694514515768,1000
A,32,500,10000,0,1000,rf,1.70735783200647,0.0356575374465655,0.249157915474356,0.267076981782342,1000
A,32,1000,10000,0,1000,reg,1.03455558464243,0.0169275338885075,0.0909426167536506,0.04450461734461,1000
A,32,1000,10000,0,1000,rf,1.64395845882849,0.0291402518557638,0.0263070477680954,-0.00502828659230303,1000
A,32,10000,10000,0,1000,reg,1.0031067876004,0.0141669941074157,-0.0135589862806346,-0.177192283941584,1000
A,32,10000,10000,0,1000,rf,1.50989783582437,0.0218754684250477,0.0109297217041183,0.0268361978272873,1000
B,6,15,10000,0.958,1000,reg,3.38431584016519,1.58063710444014,3.81310508641792,25.7179397751133,1000
B,6,15,10000,0.958,1000,rf,2.14448466310585,0.223311422228959,1.76142149640714,5.38341741753457,1000
B,6,30,10000,0.809,1000,reg,2.33473234992077,0.450632238026186,1.96813391270855,5.73308442818563,1000
B,6,30,10000,0.809,1000,rf,2.04938160127929,0.155656792743086,1.34781352821165,3.73450502003415,1000
B,6,50,10000,0.653,1000,reg,2.06752117059349,0.232764603251154,1.63043136629529,4.68668074641258,1000
B,6,50,10000,0.653,1000,rf,1.98329073591102,0.13100456366927,1.24876510528513,3.44023715717572,1000
B,6,100,10000,0.481,1000,reg,1.88497817693684,0.118101851205321,1.69723820428111,5.51388732986709,1000
B,6,100,10000,0.481,1000,rf,1.88204787782955,0.101535694514236,0.825042429845758,1.56714400692002,1000
B,6,500,10000,0.988,1000,reg,1.75157311396298,0.0436998247414362,0.303958879642836,0.468296316352974,1000
B,6,500,10000,0.988,1000,rf,1.60877623282449,0.0696843250582795,0.280626754534002,0.119062867711515,1000
B,6,1000,10000,1,1000,reg,1.73631482829309,0.040207165126506,0.159620476866951,0.0574123985133257,1000
